enode://ed5ab557d4b27317822a7f5f0d3823773ba888c295298b26b01fb34b13e2fc3f2a9b4d8c111401811e170d3e3cc43aa52892d33f7e39cf1e2af89951877c7822@127.0.0.1:0?discport=30301
Note: you're using cmd/bootnode, a developer tool.
We recommend using a regular node as bootstrap node for production deployments.
INFO [08-21|03:28:35.353] New local node record                    seq=1,755,728,915,351 id=047090cb248b63f6 ip="invalid IP" udp=0 tcp=0
TRACE[08-21|03:28:44.762] << FINDNODE/v4                           id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:44.762] >> NEIGHBORS/v4                          id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
DEBUG[08-21|03:28:45.258] Bad discv4 packet                        addr=[::ffff:127.0.0.1]:8400 err="too small"
TRACE[08-21|03:28:45.262] << FINDNODE/v4                           id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:45.263] >> NEIGHBORS/v4                          id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:57.710] << FINDNODE/v4                           id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:57.710] >> NEIGHBORS/v4                          id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
DEBUG[08-21|03:28:45.942] Bad discv4 packet                        addr=[::ffff:127.0.0.1]:8400 err="too small"
TRACE[08-21|03:28:46.177] << PING/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:46.177] >> PONG/v4                               id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:46.178] << ENRREQUEST/v4                         id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
TRACE[08-21|03:28:46.178] >> ENRRESPONSE/v4                        id=0520bb8cc3212d56 addr=127.0.0.1:8400          err=<nil>
